wine_id,color,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
R-083,red,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1
R-084,red,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4
R-085,red,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3
R-086,red,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1
R-087,red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
R-088,red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
R-089,red,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5
R-090,red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9
R-091,red,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5
R-092,red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
R-093,red,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8
R-094,red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
R-095,red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
R-096,red,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9
R-097,red,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7
R-098,red,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2
R-099,red,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8
R-100,red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
R-101,red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2
R-102,red,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4
R-103,red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
R-104,red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
R-105,red,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4
R-106,red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
R-107,red,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3
R-108,red,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3
R-109,red,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
R-110,red,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3
R-111,red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
R-112,red,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8
R-113,red,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8
R-114,red,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7
R-115,red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
R-116,red,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5
R-117,red,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10
R-118,red,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4
R-119,red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
R-120,red,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2
R-121,red,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9
R-122,red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
R-123,red,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2
R-124,red,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5
R-125,red,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5
R-126,red,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4
R-127,red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9
R-128,red,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9
R-129,red,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5
R-130,red,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4
R-131,red,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4
R-132,red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
R-133,red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13
R-134,red,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8
R-135,red,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9
R-136,red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
R-137,red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
R-138,red,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2
R-139,red,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5
R-140,red,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5
R-141,red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
R-142,red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5
R-143,red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
R-144,red,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4
R-145,red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
R-146,red,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4
R-147,red,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10
R-148,red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3
R-149,red,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2
R-150,red,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5
R-151,red,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3
R-152,red,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4
R-153,red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
R-154,red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
R-155,red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5
R-156,red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5
R-157,red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5
R-158,red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5
R-159,red,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3
R-160,red,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3
R-161,red,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6
R-162,red,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2
R-163,red,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10
R-164,red,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4
R-165,red,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4
R-166,red,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5
R-167,red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2
R-168,red,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9
R-169,red,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4
R-170,red,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5
R-171,red,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1
R-172,red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2
R-173,red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2
R-174,red,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5
R-175,red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5
R-176,red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5
R-177,red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5
R-178,red,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5
R-179,red,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6
R-180,red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5
R-181,red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5
R-182,red,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3
R-183,red,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3
R-184,red,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3
R-185,red,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3
R-186,red,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7
R-187,red,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2
R-188,red,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7
R-189,red,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5
R-190,red,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5
R-191,red,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4
R-192,red,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8
R-193,red,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5
R-194,red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7
R-195,red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7
R-196,red,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4
R-197,red,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2
R-198,red,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1
R-199,red,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13
R-200,red,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4
R-201,red,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3
R-202,red,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3
R-203,red,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5
R-204,red,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2
R-205,red,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2
R-206,red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
R-207,red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
R-208,red,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3
R-209,red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4
R-210,red,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5
R-211,red,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4
R-212,red,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10
R-213,red,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2
R-214,red,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1
R-215,red,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8
R-216,red,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5
R-217,red,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11
R-218,red,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1
R-219,red,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7
R-220,red,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5
R-221,red,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4
R-222,red,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4
R-223,red,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5
R-224,red,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10
R-225,red,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4
R-226,red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5
R-227,red,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5
R-228,red,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8
R-229,red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5
R-230,red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11
R-231,red,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2
R-232,red,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9
R-233,red,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6
R-234,red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11
R-235,red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9
R-236,red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9
R-237,red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9
R-238,red,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2
R-239,red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9
R-240,red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9
R-241,red,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3
R-242,red,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9
R-243,red,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8
R-244,red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2
R-245,red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2
R-246,red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9
R-247,red,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5
R-248,red,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3
R-249,red,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8
R-250,red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9
R-251,red,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10
R-252,red,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9
R-253,red,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5
R-254,red,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5
R-255,red,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9
R-256,red,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3
R-257,red,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2
R-258,red,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2
R-259,red,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4
R-260,red,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5
R-261,red,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3
R-262,red,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4
R-263,red,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10
R-264,red,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3
R-265,red,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9
R-266,red,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2
R-267,red,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8
R-268,red,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8
R-269,red,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
R-270,red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
R-271,red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7
R-272,red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
R-273,red,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1
R-274,red,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4
R-275,red,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4
R-276,red,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7
R-277,red,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
R-278,red,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
R-279,red,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6
R-280,red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
R-281,red,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3
R-282,red,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9
R-283,red,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1
R-284,red,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
R-285,red,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
R-286,red,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
R-287,red,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3
R-288,red,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3
R-289,red,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6
R-290,red,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2
R-291,red,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6
R-292,red,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5
R-293,red,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3
R-294,red,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1
R-295,red,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5
R-296,red,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5
R-297,red,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9
R-298,red,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6
R-299,red,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7
R-300,red,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
R-301,red,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7
